序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,600748,上实发展,0.17,3632157200.23,-14.5987013496,41.2481,337317446.22,-21.45,-7.0884,5.436741465625,3.04,-2.163041447665,44.2069119979,房地产开发,2023-03-28
2,873588,华夏电通,-0.17,83493046.57,142.1241642024,,-10503425.34,-1701.6687147616,,3.677314428052,-4.53,-0.707029724104,38.6459970088,,2023-03-27
3,601038,一拖股份,0.4646,5631797809.93,36.8,-26.6488,511381288.3,58.15,-68.2895,4.87327620696,9.9,0.600047630628,17.6529084139,专用设备,2023-03-22
4,430144,煦联得,0.028,40499924.3,35.8993385021,,2074727.0,586.77,,1.001960425505,2.81,0.020735890024,21.0354151452,,2023-03-20
5,601311,骆驼股份,0.45,6246065837.47,53.6013538753,-6.4567,505304770.68,106.91,-16.4688,6.952160683246,6.6,0.133880250143,19.5584105016,电池,2023-03-01
6,688211,中科微至,0.74,547174242.42,80.0415294417,117.721,72635660.3,134.21,104.8292,9.050858083939,8.68,-2.667144405659,34.4061213604,物流行业,2023-02-28
7,830779,武汉蓝电,0.48,49469197.62,193.0836118793,,22239653.98,279.1756852864,,3.366985606452,15.29,0.122008924516,65.165136976,,2023-02-16
8,839145,海洋股份,0.13,44977353.46,320.1539543079,,2686545.3,262.2948950915,,1.25926587,11.27,-0.2415196545,14.0226742234,,2023-02-07
9,688269,凯立新材,1.18,712645856.07,37.2492279441,22.0015,82821133.88,41.95,85.2578,8.760050238218,22.05,0.302114078085,19.3695404406,化学制品,2023-02-07
10,873665,科强股份,0.18,129840715.1,,,16822354.9,,,3.977959063871,4.74,0.102359185825,36.1857336844,,2023-02-03
