序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,601179,中国西电,0.006,2483696194.98,-10.8506732329,-56.7892,31735890.18,-63.17,-74.0826,3.873657951442,0.16,0.116332126007,21.0313940626,电网设备,2023-02-28
2,600302,标准股份,-0.0291,118632488.44,-25.2040728536,-3.5279,-10071613.67,46.7760738588,89.0642,3.066932827054,-0.94,-0.052214158851,20.4249635312,专用设备,2023-02-14
3,688529,豪森股份,0.19,254000184.79,,-32.8084,18174243.89,,-28.2774,,4.9,,28.9386893048,专用设备,2023-01-07
4,002396,星网锐捷,-0.0945,1079960399.27,-15.8164280814,-67.0004,-55145830.36,-668.88,-142.5606,7.148540809038,-1.31,-2.368117063989,28.7196925063,通信设备,2022-09-24
5,000971,ST高升,-0.0001,165494801.81,-10.0180056402,-28.6852,-57751.47,-100.13,99.9903,1.084573876075,-0.01,-0.047962806638,25.260976123,通信服务,2022-08-31
6,603055,台华新材,0.02,467998391.27,-15.2491396809,-34.5629,17544637.06,-67.76,524.4951,3.396995816347,0.66,-0.172442069126,24.7421977917,纺织服装,2022-07-28
7,002036,联创电子,0.03,975325963.91,-6.6928121446,-46.2436,24146991.77,-40.4,32401.2437,3.165631971864,1.07,0.001468059255,12.4355488727,光学光电子,2022-07-18
8,600740,山西焦化,0.1184,1325256768.89,-8.0767727606,-4.7906,233431823.38,-50.62,154.9093,6.887621054655,2.26,0.028184338805,-5.1450450841,煤炭行业,2022-07-14
9,002808,恒久科技,0.0118,57526391.38,-15.8368627398,-45.375,3177435.86,12.04,-45.6333,2.158745181659,0.55,0.060473752641,25.0950773266,光学光电子,2022-07-14
10,000670,盈方微,-0.0013,0.0,,,-1025160.79,95.6,99.3461,-0.031869464942,4.12,-0.005935307641,,半导体,2022-07-14
11,300133,华策影视,0.06,761524240.14,3.64,-42.3534,109902637.87,204.87,107.3696,3.0334547529,2.08,0.036659031256,31.5832098419,文化传媒,2022-07-09
12,600532,*ST未来,0.01,1239954694.25,40.5382027666,-23.1144,5575877.62,254.1836425057,-97.0905,3.623399711901,0.3,0.08905388492,1.2818427491,煤炭行业,2022-06-30
13,839792,东和新材,0.05,134816662.99,,,6744714.83,,,3.432652774495,1.36,-0.03755057936,18.3646806937,非金属材料,2022-06-28
