序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688433,华曙高科,0.15,274678118.78,48.4694489428,,54892920.54,73.0368395066,,1.927777630161,7.98,0.221640402356,53.7905603207,通用设备,2023-03-27
2,837748,路桥信息,-0.08,115994509.68,52.4437845775,-60.0163,-4621404.77,60.2997849366,-67.8942,2.341845775123,-3.18,-0.623215944354,32.1738089613,,2023-03-23
3,600185,格力地产,0.08,2754540503.16,-55.3512170146,-26.1065,154461011.99,-75.89,274.8908,4.857077389192,1.72,0.191461257773,25.8491910786,房地产开发,2023-03-23
4,002928,华夏航空,-1.4954,2027191138.57,-38.1137878797,18.8392,-1510622255.26,-1054.47,-12.4481,2.078229467317,-52.73,0.383510798821,-44.5369240997,航空机场,2023-03-23
5,872869,瑞华技术,0.81,192238144.47,176.7607289856,,48310246.2,960.4743816005,,6.412174823406,13.4,1.515402216847,35.4436470753,,2023-03-22
6,601038,一拖股份,0.7082,10320425131.42,25.3988229388,54.934,795803452.32,18.92,112.5758,5.403787321582,13.75,3.320041861227,16.5944794518,专用设备,2023-03-22
7,832471,美邦科技,0.7,418798998.44,19.4312419327,-27.8948,48902569.25,-22.7843966142,-84.0528,5.943852718,12.07,2.520173176143,31.7417133076,,2023-03-20
8,603125,常青科技,0.98,697300061.28,27.8052350039,,141580822.99,33.0787412167,,5.451086717402,19.64,0.549947717333,30.4403648854,化学制品,2023-03-20
9,872895,花溪科技,0.57,119153536.93,-17.4466017303,-7.6187,24250871.47,-8.8731406434,32.8542,3.086286636488,20.46,0.67008163978,33.9655862786,专用设备,2023-03-16
10,838758,思迅软件,0.83,257390922.95,0.9580623038,3.098,87137599.64,-8.82,-10.0409,2.709673886924,29.21,0.698376965813,62.9959423322,,2023-03-16
11,600168,武汉控股,0.14,2023698275.36,-0.9707870697,-22.3728,100881921.6,-61.65,-90.4151,7.314946826858,1.77,-0.283080493198,25.7140773521,公用事业,2023-03-15
12,873665,科强股份,0.37,203912491.79,4.5772031011,,37058184.41,27.7272725549,,4.448849229723,8.39,0.248863683668,36.6294247127,,2023-03-14
13,688531,日联科技,0.55,320451693.44,42.4556529481,,32502484.46,23.7528298262,,6.610505703386,8.67,0.345477904124,38.1867279515,专用设备,2023-03-14
14,301439,泓淋电力,0.53,1837474729.49,,,153959254.2,,,3.140868195667,18.27,0.855784846944,15.3040211844,电网设备,2023-03-14
15,000695,滨海能源,-0.3267,319438060.57,-15.8052028494,-48.9534,-72584281.08,-147.99,-34.9413,1.040735786589,-27.14,-0.296904648671,-0.7785167258,造纸印刷,2023-03-13
16,873850,百翔科技,0.51,153947670.82,-47.365061941,,30340084.36,-60.8745753856,,3.491004573,15.69,0.694621355333,39.4713890157,,2023-03-06
17,836547,无锡晶海,0.97,287517027.16,6.0542092767,,43283689.45,-23.0662383458,,6.835606776923,15.58,1.382674067735,30.1653254267,,2023-03-06
18,603829,洛凯股份,0.28,1175209166.34,31.9995145191,6.9586,45062176.41,-12.06,-30.9215,5.103671176,5.46,-0.2100744535,19.9374120957,电网设备,2023-03-04
19,873593,鼎智科技,2.59,257318114.33,77.9893245706,13.0482,84376209.52,79.7658817004,0.3538,7.258353683052,47.83,2.797967600557,54.7549420129,电机,2023-03-02
20,300582,英飞特,0.63,1169158703.67,9.6081965319,16.2998,184668403.03,13.56,161.3315,5.538819928603,12.06,0.962096645867,34.9497089717,光学光电子,2023-03-02
21,835017,中研股份,0.44,178941336.18,,18.056,39702098.38,,22.3797,3.408539064103,13.03,0.163784203813,45.2168534433,,2023-03-01
22,833575,康乐卫士,-1.65,887876.0,331.2327197479,13.6257,-210618514.39,32.7475164941,11.0434,7.578622050524,-18.91,-1.490893299775,96.0134489501,化学制药,2023-02-28
23,688211,中科微至,0.14,1067711972.62,9.787435179,-37.7783,18750603.04,-81.7,-130.8621,29.022141708977,-0.28,0.551981711042,18.3007070316,物流行业,2023-02-28
