序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,601179,中国西电,0.02,6119125676.43,-8.640096579,46.2885,117644241.14,-40.17,167.9676,3.847573425404,0.59,-0.049407774945,16.6506190041,电网设备,2023-02-28
2,600302,标准股份,-0.0051,289049539.15,-1.444306837,43.6512,-1752719.83,96.75,182.5974,3.090634776089,-0.16,-0.475943209459,22.979142598,专用设备,2023-02-14
3,873576,天力复合,0.1177,178261208.77,,,9122338.92,,,2.816877025765,4.86,-0.016007969882,18.7160114812,,2022-12-23
4,870976,视声智能,0.15,66379082.7,-8.3503128898,,5185777.92,159.96,,1.889656150203,8.46,0.303868270922,39.1924720135,,2022-12-23
5,833243,龙辰科技,-0.05,39563198.61,-12.1410979648,,-3312464.54,-24.5,,2.432930397888,-1.98,0.115165521553,23.7142830702,,2022-12-15
6,832175,东方碳素,0.14,84059335.92,-19.5680931316,,12040213.15,-48.01,,3.171134415057,4.61,0.129535322759,33.3281703375,,2022-12-15
7,870726,鸿智科技,0.43,159170878.2,5.3653978926,,13545794.24,31.84,,3.007625817271,13.67,0.872991257412,19.8346562305,,2022-12-14
8,832651,天罡股份,0.31,83544296.32,-11.1784437018,,15712329.76,-3.42,,4.708632663952,5.9,0.082055763654,50.4887237406,,2022-12-13
9,831396,许昌智能,0.06,121283313.79,-1.0045061376,,6193248.97,64.08,,2.805307343663,2.21,-0.201499046634,25.8697159069,,2022-12-12
10,838837,华原股份,0.12,218009085.99,14.4054097737,,15322682.36,24.72,,2.651691243734,4.59,-0.06931179297,27.7198661769,,2022-12-09
11,872211,润和催化,0.001,119935176.09,3.9320906573,,275123.13,-94.18,,1.03114899475,0.11,0.333608443292,36.8022151457,,2022-12-08
12,836419,万德股份,0.35,172792430.37,2.5689317589,,24357353.53,19.7,,3.227009276633,10.84,0.19145937261,35.6661921463,,2022-12-07
13,833751,惠同新材,0.21,79243534.89,19.0656440868,,13314542.88,27.55,,3.10748620129,7.15,0.067170072258,41.7438883259,,2022-12-07
14,002842,翔鹭钨业,0.05,610202669.61,-18.0091757819,33.4932,13958246.93,-63.76,-49.1994,3.272696650647,1.44,-0.078039730808,10.1170606922,小金属,2022-12-03
