序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688507,索辰科技,-1.17,15878227.89,,,-36377310.17,,,14.106231197097,-7.99,-1.005959764194,38.9053268589,软件开发,2023-03-28
2,603137,恒尚节能,0.4996,619125222.95,-33.8653647127,,48957674.91,-4.669296927,,4.965046212347,10.59,-3.190517922959,14.9988589719,装修建材,2023-03-28
3,600748,上实发展,-0.05,1381907811.05,-61.9535241767,-59.6844,-92462165.29,-127.41,-791.9538,5.29723651073,-0.93,-0.453755771186,24.425182141,房地产开发,2023-03-28
4,301387,光大同创,1.01,499460236.66,15.6429588897,,57411193.01,32.4359109393,,9.049587352807,11.55,0.74001556,27.8796392003,消费电子,2023-03-28
5,301357,北方长龙,1.07,143227955.54,7.8085440713,,54396965.96,1.0168992294,,7.198421670196,16.02,0.712707981765,63.1957066822,汽车整车,2023-03-28
6,873588,华夏电通,-0.09,72518117.25,-13.1447225498,,-5411571.42,48.478032215,,4.753222953216,-2.13,-0.593567720468,46.9406017156,,2023-03-27
7,839826,飞沃科技,0.99,564466149.07,16.9193302214,9.7168,39968263.76,42.5829512646,-34.4808,15.539065707171,6.61,0.335062643422,18.3833936669,,2023-03-27
8,836208,青矩技术,0.96,297663266.59,3.0593735553,80.8512,56822509.06,9.6524009718,414.3662,7.633814738801,11.05,-2.876675658818,43.4185285039,工程咨询服务,2023-03-27
9,688433,华曙高科,0.08,176204813.26,,,31617431.56,,,1.85869681247,4.68,0.010343995755,53.3497600098,通用设备,2023-03-27
10,301429,森泰股份,0.58,521748049.62,29.2877611876,,51470661.55,4.451776551,,6.118382282766,9.97,0.501736257952,19.5312796443,装修建材,2023-03-27
11,873576,天力复合,0.47,349030117.28,55.9418718994,,44005919.78,146.780245604,,3.058376132766,14.2,0.529595748617,24.541907182,,2023-03-24
12,870804,科志股份,0.42,153271926.91,8.0534193268,97.1876,40530794.08,49.3641811704,133.2471,2.740697440807,14.07,0.352143875169,44.0468310414,,2023-03-24
13,831006,久易股份,2.94,894865707.44,102.3438032397,,152646786.51,399.7321877027,,8.201651687901,41.74,1.191258510741,25.9120820546,,2023-03-24
14,834261,一诺威,0.44,3206233766.5,-17.2500496764,3.2166,114215372.47,-11.4553075222,-32.6166,4.346876942496,10.12,0.622757571172,7.5514568741,化学制品,2023-03-23
15,301386,未来电器,0.38,237932554.88,4.9743946107,,40014491.69,-15.7025444519,,5.344619058381,7.39,0.205200023238,30.0915538086,电源设备,2023-03-23
16,601038,一拖股份,0.5175,6630331281.57,17.73,-43.9412,581466905.85,13.71,-79.022,5.198669739914,10.26,2.915317959878,16.2881573952,专用设备,2023-03-22
17,873554,赛康智能,0.1161,28774586.92,,,5874956.61,,,1.994085778261,6.02,0.194678313636,54.2846502833,,2023-03-21
18,601133,柏诚股份,0.34,1286857807.12,27.4927418813,,133694431.96,126.6802623293,,2.987513038981,12.11,-0.26712448828,14.8958397905,工程建设,2023-03-21
19,601065,江盐集团,0.54,1544709072.79,113.7022754503,,260915333.54,756.6875606689,,4.04643466811,12.2,0.728928742946,36.4122992723,化学原料,2023-03-21
20,001360,南矿集团,0.39,373646892.05,,,58939909.38,,,3.220910138235,12.73,0.198773504183,38.8771475665,专用设备,2023-03-21
21,001286,陕西能源,0.43,9604205426.25,38.8496646645,,1290291742.65,336.5011321469,,4.611630191157,9.6,1.669511795263,41.2646245799,电力行业,2023-03-21
22,836717,瑞星股份,0.11,78491981.75,5.1529369148,,9271375.39,-35.5555769025,,4.736603979535,2.22,0.171568548837,46.1325194914,,2023-03-20
23,836221,易实精密,0.2,94911171.65,31.7917245745,0.8623,14383627.94,-8.0695516008,-7.8165,2.447466000921,9.06,0.320046066053,29.2695668034,,2023-03-20
24,603135,中重科技,0.46,923909687.59,42.4767955814,,166994761.65,32.9937071967,,3.805153317861,12.98,0.234824000444,28.7674274207,专用设备,2023-03-20
25,603125,常青科技,0.62,442575637.42,25.6520324436,,90247384.87,27.5960544645,,5.090788921612,12.93,0.338886644761,29.9192068235,化学制品,2023-03-20
26,601061,中信金属,0.36,62371137420.34,11.1208436214,,1576311599.0,1.6531544203,,2.953724547068,13.14,-1.43015109387,2.4341470714,贸易行业,2023-03-20
