序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,601179,中国西电,0.04,9587223837.05,-1.4808583391,-4.5858,202435725.93,-27.06,12.0798,3.863564902139,1.07,-0.067212077481,17.3851516168,电网设备,2023-02-28
2,600302,标准股份,0.0033,611189221.71,45.9741271841,89.0302,1134127.86,101.56,-65.2977,3.098319125605,0.11,-0.927087191003,16.1944693418,专用设备,2023-02-14
3,831304,迪尔化工,0.16,182250712.62,,,17799009.91,,,,11.96,0.204002064936,25.0345889704,,2022-12-16
4,430623,箭鹿股份,0.14,332887985.6,,,22183887.76,,,,4.4,0.268731506753,22.2095050973,,2022-12-13
5,833284,灵鸽科技,0.1692,91174126.58,70.1867945761,-36.7769,10728810.5,8135.8103575179,-118.428,,13.2,0.203765753853,38.072493351,,2022-12-07
6,300542,新晨科技,0.04,732160843.11,8.7320786825,4.0529,11126272.69,8.45,-93.1079,2.057531812473,1.74,-0.137430819409,20.1806660217,软件开发,2022-11-24
7,838262,太湖雪,0.374,175717890.38,,,9884213.98,,,,9.32,,37.5359506407,纺织服装,2022-11-10
8,836388,力姆泰克,0.37,42376080.27,,,11147456.44,,,,14.51,0.430412050667,48.7245078791,,2022-10-31
9,688565,力源科技,0.26,175667263.01,-32.0715973735,931.5638,20679480.96,-48.6620908637,883.7423,4.92526101596,5.34,0.002896817955,28.5129523861,环保行业,2022-10-31
10,688106,金宏气体,0.36,899487564.74,4.6581557369,18.3187,142676308.63,4.13,-4.3277,5.611875236376,9.57,0.511879012907,46.2277020061,电子化学品,2022-10-29
11,835892,中科美菱,0.23,203094473.58,,-1.1979,16354911.53,,33.6263,,10.9,,32.8775873183,专用设备,2022-10-28
12,831177,深冷能源,0.38,240989866.55,-51.4582046634,,37916332.92,31.6888515062,,,9.86,0.1722751024,36.4832831018,,2022-10-26
13,873152,天宏锂电,0.68,155401401.26,,,15201709.13,,,,45.72,,19.1427883847,电池,2022-10-25
14,002396,星网锐捷,0.5586,6561773722.11,9.4883580057,37.8961,325816875.18,-31.64,115.3132,7.005160744934,7.63,0.023356379041,33.8371939291,通信设备,2022-09-24
15,002168,惠程科技,0.03,676226792.62,-0.0826210977,-9.0216,25706643.67,-73.66,-237.6962,2.292319794012,1.37,0.210572083133,65.0930582393,游戏,2022-09-01
16,000971,ST高升,0.026,593069825.06,0.085925469,-18.8431,26977408.08,355.93,-61.1114,1.110192142469,2.56,-0.072170516032,25.9182421453,通信服务,2022-08-31
17,688667,菱电电控,2.67,512828505.04,,-14.8111,103309175.31,,-30.496,,,,32.8148583583,汽车零部件,2022-08-19
18,603055,台华新材,0.12,1669942641.81,-15.4622108004,1.432,92491827.24,-52.1,26.4666,3.421270224877,3.44,0.148183364866,24.3870962357,纺织服装,2022-07-28
19,002036,联创电子,0.2257,5656229271.61,32.539175112,105.6934,209726681.3,-6.57,94.5604,2.746008537183,8.5,-0.021815868738,10.592173851,光学光电子,2022-07-18
20,002808,恒久科技,0.0617,277309945.99,31.3843757577,55.1832,16593333.31,10.0,82.7665,2.188667804353,2.85,0.14308770372,20.9210964082,光学光电子,2022-07-14
