序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688618,三旺通信,1.2,253851727.43,21.348058841,23.2927,60422374.02,-6.22,9.4421,14.110343915724,8.74,0.461747959799,60.3619873228,通信设备,2023-03-29
2,688522,纳睿雷达,0.83,183033107.89,39.414090781,,96616193.13,45.0880201837,,3.776626878103,24.91,0.388706058621,80.2832409579,计算机设备,2023-03-29
3,688337,普源精电,-0.04,483941809.91,36.6267624759,32.1093,-3897740.65,85.6523718053,383.5792,8.284252709199,-0.55,0.680650932081,50.5848551266,仪器仪表,2023-03-29
4,688139,海尔生物,2.67,2125862739.15,51.627592028,2.2846,845035305.76,121.82,17.3798,11.425802630047,26.72,1.866448194796,50.1453327611,医疗器械,2023-03-29
5,603577,汇金通,0.2367,3213688504.38,65.905212961,177.6953,71249833.78,-37.49,-103.5131,5.960050557367,4.1,-1.022302573457,12.4626575595,电网设备,2023-03-29
6,601811,新华文轩,1.06,10460363983.51,16.1223169558,41.9349,1305941469.01,3.42,472.4408,9.094818557456,12.23,1.659313944998,36.458073226,文化传媒,2023-03-29
7,601528,瑞丰银行,0.89,3310241000.0,10.0216072023,-4.1792,1271132000.0,15.08,4.1862,8.99,10.33,-0.123946983977,,银行,2023-03-29
8,600985,淮北矿业,2.09,65526308120.9,24.191019973,-20.1182,4907728476.97,37.82,1.1518,10.990313564528,20.15,4.45495409271,19.9586997037,煤炭行业,2023-03-29
9,600871,石化油服,0.009,69533053000.0,2.144243021,50.6829,179791000.0,127.6,-191.4947,0.361430368398,2.64,0.326948895774,7.2082668368,采掘行业,2023-03-29
10,600724,宁波富达,0.2495,2340238895.86,-0.0025419541,78.2662,360599024.29,-14.49,85.9583,2.072669080991,12.2334,0.255104380237,27.9446946983,水泥建材,2023-03-29
11,600370,三房巷,0.1676,19479172715.47,19.5056119275,19.6429,629724703.16,12.63,53.4562,1.671414277817,10.45,-0.018657045529,4.8233813619,化学制品,2023-03-29
12,600282,南钢股份,0.6848,76553720268.21,42.4510771763,-19.6853,4203999256.44,43.75,-48.4902,4.53107082062,16.0,0.849662553984,12.141245775,钢铁行业,2023-03-29
13,600029,南方航空,-0.75,101644000000.0,9.8129881916,-14.005,-12103000000.0,11.63,-318.1691,3.98961529384,-17.57,0.7889426481,-2.5431899571,航空机场,2023-03-29
14,600007,中国国贸,1.02,3585982881.0,15.7604983384,0.8664,1023793717.0,24.03,-6.3118,8.571528826886,12.4,1.767303498186,55.705610492,房地产开发,2023-03-29
15,301096,百诚医药,1.37,374311815.33,80.6107468364,87.5606,111088253.5,93.52,97.5853,21.429070171035,27.94,1.344444033946,67.2647630367,医疗服务,2023-03-29
16,300821,东岳硅材,0.96,4333219120.91,73.0988555686,20.6961,1150634466.69,309.87,-8.6541,4.271550009292,25.14,0.462141330708,37.3893024011,化学制品,2023-03-29
17,300536,农尚环境,-0.0015,307604209.0,6.7083179407,-11.8128,-448161.67,-106.27,-217.9704,2.07209925524,-0.07,-0.159638778327,17.6449511164,工程建设,2023-03-29
18,300347,泰格医药,3.31,5213538054.0,63.3171431098,35.8485,2874163020.17,64.26,107.7879,20.773531821911,16.75,1.631973453852,43.5530542315,医疗服务,2023-03-29
19,300206,理邦仪器,0.399,1636411042.84,-29.4225801644,1.0641,231436439.33,-64.57,-129.457,2.978890927383,13.19,0.407898193564,55.9666269827,医疗器械,2023-03-29
20,002960,青鸟消防,1.5284,3863392959.52,53.0285933761,9.1481,529824909.4,23.21,-8.8212,10.16228092297,15.97,0.558173143322,37.142929532,专用设备,2023-03-29
21,002838,道恩股份,0.55,4261139721.08,-3.6449224156,34.5956,226130146.8,-73.55,95.3577,4.871851699501,11.33,-0.400689789367,12.243993855,塑料制品,2023-03-29
22,002801,微光股份,1.11,1111608014.87,39.2652610612,17.4894,254429191.28,31.53,29.3398,5.820958487711,20.21,0.769594388456,29.267472841,电机,2023-03-29
23,002234,民和股份,0.14,1775432179.3,5.5621076695,-19.929,47609674.22,-28.6,-3098.4506,8.957258065398,1.58,0.122285695912,18.074194799,农牧饲渔,2023-03-29
24,001283,豪鹏科技,4.23,3317995468.42,26.4616998298,6.031,253881970.81,51.7490046713,-0.3817,19.2179126325,24.76,2.200096008167,20.862701239,电池,2023-03-29
25,000895,双汇发展,1.4044,66797549317.92,-9.653919399,-2.3646,4865939674.32,-22.21,54.2981,6.583251673309,21.8,1.741599657681,15.3522624469,食品饮料,2023-03-29
26,000738,航发控制,0.4,4156777896.56,18.2534240175,10.276,487614039.82,30.67,-11.0665,8.014315105921,6.46,0.679866279342,28.241903535,航天航空,2023-03-29
27,873910,北京检验,0.0,221377861.33,10.9365786439,,15432761.96,-48.0718749742,,1.82,9.26,0.728310611286,41.7871601949,,2023-03-28
28,873785,惠嘉股份,0.45,656268812.32,33.2102332229,,41929033.82,-20.4084162979,,4.13,11.5,-0.130720069668,18.8621742305,,2023-03-28
29,873747,华信安全,14.59,85277588.87,11.3614215011,-2.1856,237599383.48,925.1702404233,-85.3299,23.04,90.32,0.089439580059,30.7313062403,,2023-03-28
30,873646,虚现科技,0.03,34675227.14,30.3051646849,,226435.85,-74.05,,1.99,2.38,-1.649590289154,42.3036772356,,2023-03-28
31,873328,威锐股份,1.36,73171719.35,46.6452346516,,13586947.49,14.84,,3.01,35.64,1.815995497,67.4278050841,,2023-03-28
32,872334,科炬生物,-1.91,56940055.87,-46.7297041089,-127.4226,-50885025.58,-2460.9415445922,-1868.3073,0.42,-138.82,-0.765747940977,39.1509414056,,2023-03-28
33,872325,丽宫食品,0.63,294995221.77,98.6743612372,-80.4902,65157484.96,201.31,-85.1745,3.21,60.8,-0.299118643446,49.4308425659,,2023-03-28
34,872250,欣思源,0.08,89411811.47,134.9965131768,,4322927.23,279.92,,0.85,10.48,-0.117752722394,23.9544978766,,2023-03-28
35,872155,九州治水,0.3134,67289230.91,33.9404610254,,9517532.72,35.23,,2.2,15.21,0.542841557578,39.0948853245,,2023-03-28
36,871626,威力传动,1.17,639350806.4,28.7239033298,76.2053,63737237.27,-20.2724516564,91.2036,3.87,35.07,0.274412945755,24.5676189422,,2023-03-28
37,871470,金印传媒,0.24,85533825.16,-0.4150516769,,10368961.25,-28.05,,3.02,8.04,0.322903348605,23.8836639327,,2023-03-28
