序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688507,索辰科技,1.09,161860589.23,39.7253167246,,32648704.91,359.2973364811,,10.114737224667,11.31,2.597821658333,82.02961962,软件开发,2023-03-28
2,603137,恒尚节能,0.7894,1674168728.95,28.4684577985,,77356461.33,46.7504743733,,3.557486860204,24.6,0.445007853061,15.7440150543,装修建材,2023-03-28
3,600748,上实发展,0.28,6528286480.94,-18.3450430068,53.8262,568937979.06,-23.0,594.3567,5.615555774793,5.06,0.411037713953,36.8527196238,房地产开发,2023-03-28
4,301387,光大同创,1.66,831274220.58,25.1867199901,,94455324.78,-8.3881660943,,6.250444146667,30.23,1.379693611404,33.2079560638,消费电子,2023-03-28
5,301357,北方长龙,1.83,259859233.27,65.9156625872,,93161355.86,78.5471571797,,3.984681119608,59.7,0.697279429608,60.472578843,汽车整车,2023-03-28
6,000700,模塑科技,-0.004,6102252567.36,11.1333543852,18.0554,-3516588.0,-103.91,-55.5747,2.969831731432,-0.13,0.273794472599,17.0749009099,汽车零部件,2023-03-28
7,874032,基烁股份,,84932643.25,,,30665790.87,,,12.425547315825,55.19,6.881226988373,52.9247765052,,2023-03-27
8,873588,华夏电通,0.33,154697103.48,-21.9350758897,,23393653.75,-27.62,,3.85,8.97,0.787043589955,66.7492930295,,2023-03-27
9,871694,中裕科技,0.66,265585901.88,-19.9963181869,,49878674.97,-28.6630779396,,3.15,21.59,0.913797798857,43.9524842974,,2023-03-27
10,839826,飞沃科技,3.98,1195503179.05,127.2216853117,,160256832.15,141.7696699995,,12.61,38.3,-0.185637958464,27.4862581554,,2023-03-27
11,836208,青矩技术,2.19,671860694.06,15.7587369089,,127392104.16,17.191096807,,7.07,33.93,2.283428096782,47.8708513824,工程咨询服务,2023-03-27
12,832925,城投鹏基,0.99,86383446.79,10.4943585345,,5454736.68,33.65,,4.22,25.9,1.672592642919,12.1090117942,,2023-03-27
13,831288,安美勤,0.14,64752266.21,26.746283698,,6033306.5,-60.53,,1.11,11.5,0.791507591396,74.3995591811,,2023-03-27
14,688433,华曙高科,,217273358.88,40.1314939441,,40961499.51,128.1908647812,,5.370781274248,12.55,0.801844896372,57.482186985,通用设备,2023-03-27
15,301429,森泰股份,1.16,631984731.69,18.4413587234,,103149548.48,119.1750758287,,4.57049493007,29.15,1.914169956576,31.8730696771,装修建材,2023-03-27
16,873593,鼎智科技,1.15,131226471.28,66.7645354317,-18.7283,34303711.12,1484.7089707636,-70.2155,2.34,56.24,1.247186439839,52.1237768438,电机,2023-03-24
17,873576,天力复合,0.42,374394599.79,-17.843944957,,32307113.23,-31.5715147415,,2.65,16.18,0.314671154353,21.711500763,,2023-03-24
18,870804,科志股份,0.68,266866719.98,96.2957754135,,61945605.98,68.250576586,,3.29,40.12,1.599947211762,37.9328932613,,2023-03-24
19,870801,皖创环保,0.24,182477331.5,-10.3176960243,,24363204.83,131.15,,1.31,20.54,0.3551708834,32.9290177832,,2023-03-24
20,836831,蜜思肤,0.44,126702238.56,2.9939045112,-0.4194,22329097.98,13.69,-3.1281,1.55,32.51,0.345523566992,46.4994335614,,2023-03-24
21,831006,久易股份,0.76,665544261.0,25.9283160599,,38732311.36,44.8986709372,,3.96,19.88,0.496958127138,19.6772602416,,2023-03-24
22,839410,普泰环保,0.46,67891727.53,25.7592350059,,11071697.56,38.09,,2.02,25.61,0.588887110327,50.8533373005,,2023-03-23
23,837748,路桥信息,0.46,207210286.02,-29.5250130022,,23938695.64,41.0929089828,,1.94,25.46,0.434222229615,42.4412855796,,2023-03-23
24,836961,西磁科技,0.19,78274189.05,-11.5877226285,,9823081.47,-24.7,,1.72,11.79,0.365929500291,35.8615618516,,2023-03-23
25,834261,一诺威,3.13,5106729129.86,12.1186682037,,204214012.01,22.4660703009,,14.87,22.84,0.118484614395,8.8901589424,化学制品,2023-03-23
26,600185,格力地产,0.3,6388966672.69,52.3814249483,68.1778,558726895.9,6.17,-122.0199,4.086576622901,6.88,0.882985308696,30.0141960558,房地产开发,2023-03-23
27,301386,未来电器,0.95,461441359.24,31.3959546211,,97024407.88,59.1284367867,,4.328596477619,27.47,0.359580647048,40.6097379218,电源设备,2023-03-23
28,002928,华夏航空,0.64,4732126384.78,-12.561624102,4.6064,628590609.13,22.03,170.6112,3.90024219536,18.26,0.99417868493,13.9094466643,航空机场,2023-03-23
29,872869,瑞华技术,1.99,267428701.94,40.886606347,,62556436.29,-7.3505220141,,8.34,31.86,0.475493353352,38.4893698632,,2023-03-22
30,836699,海达尔,2.23,196732439.47,33.6108041034,,22262068.19,158.1409208863,,8.56,29.89,0.400698887,23.6122076538,,2023-03-22
31,873554,赛康智能,0.3077,55224228.16,-28.8621590795,,15571169.88,-32.710172661,,1.37909553083,22.25,0.831744545257,63.4653140438,,2023-03-21
32,601133,柏诚股份,0.31,1947405743.08,4.8782966185,,118143744.9,-29.007849409,,2.314612083363,14.47,0.298649572051,13.7928407536,工程建设,2023-03-21
33,601065,江盐集团,0.31,1295201805.89,-6.2525739105,,141976848.4,253.6814809229,,3.114624883931,10.24,0.143868362397,26.9095078331,化学原料,2023-03-21
34,001360,南矿集团,,498440685.4,26.7922352408,,88780396.12,37.0953191928,,2.990371513311,21.84,0.33401703702,44.0776713951,专用设备,2023-03-21
