代码,名称,总市值,上市时间
605268,王力安防,4389511500.0,2021-02-24
605066,天正电气,3268150000.0,2020-08-07
688117,圣诺生物,2721600000.0,2021-06-03
688163,赛伦生物,2677362800.0,2022-03-11
603897,长城科技,4477589921.0,2018-04-10
688737,中自科技,3556685908.0,2021-10-22
688155,先惠技术,4194184639.0,2020-08-11
603709,中源家居,1368000000.0,2018-02-08
688101,三达膜,4894680800.0,2019-11-15
688590,新致软件,3320647557.0,2020-12-07
688257,新锐股份,3626624000.0,2021-10-27
688335,复洁环保,2534191571.0,2020-08-17
605058,澳弘电子,3222935073.0,2020-10-21
688687,凯因科技,4522236846.0,2021-02-08
603324,盛剑环境,4543818531.0,2021-04-07
688013,天臣医疗,1905533488.0,2020-09-28
605169,洪通燃气,3171084800.0,2020-10-30
603095,越剑智能,3391080000.0,2020-04-15
688028,沃尔德,3704932258.0,2019-07-22
688067,爱威科技,1459280000.0,2021-06-16
688670,金迪克,4399120000.0,2021-08-02
688577,浙海德曼,2664439903.0,2020-09-16
688171,纬德信息,2044070960.0,2022-01-27
605303,园林股份,1904213788.0,2021-03-01
605028,世茂能源,2939200000.0,2021-07-12
605318,法狮龙,1867814858.0,2020-08-03
603122,合富中国,4191494225.0,2022-02-16
688215,瑞晟智能,1367766400.0,2020-08-28
605128,上海沿浦,3277600000.0,2020-09-15
605033,美邦股份,2484407790.0,2021-09-16
605155,西大门,1995840000.0,2020-12-31
603080,新疆火炬,2060240000.0,2018-01-03
688667,菱电电控,4497293752.0,2021-03-12
688455,科捷智能,2875501755.0,2022-09-15
605566,福莱蒽特,3161491400.0,2021-10-25
603109,神驰机电,3233917882.0,2019-12-31
603353,和顺石油,3023991360.0,2020-04-07
688299,长阳科技,4904859912.0,2019-11-06
603045,福达合金,1994113800.0,2018-05-17
603759,海天股份,4419043200.0,2021-03-26
603176,汇通集团,3299286200.0,2021-12-31
688488,艾迪药业,4477200000.0,2020-07-20
688307,中润光学,3423200000.0,2023-02-16
603161,科华控股,2083708000.0,2018-01-05
688398,赛特新材,3372000000.0,2020-02-11
688115,思林杰,2662799800.0,2022-03-14
603332,苏州龙杰,1893255084.0,2019-01-17
605080,浙江自然,4785168752.0,2021-05-06
688089,嘉必优,4984800000.0,2019-12-19
603115,海星股份,4322344000.0,2019-08-09
688360,德马科技,2475196945.0,2020-06-02
688057,金达莱,4451880000.0,2020-11-11
603272,联翔股份,1890156480.0,2022-05-20
688038,中科通达,1909687494.0,2021-07-13
688135,利扬芯片,4639020256.0,2020-11-11
688788,科思科技,4852772278.0,2020-10-22
688265,南模生物,3724317016.0,2021-12-28
688221,前沿生物-U,4981896085.0,2020-10-28
688459,哈铁科技,4656000000.0,2022-10-12
