序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
40,873958,双键新材,0.03,22202664.26,,,1348863.64,,,1.4008155886,1.94,-0.2293716962,25.818096436,,2022-10-27
41,873911,思锐光学,-0.02,34261926.45,,,-936419.6,,,2.24555063112,-0.78,-0.247718725773,40.7997731546,,2022-10-24
42,873950,哈德胜,0.05,60429891.66,,,2751098.11,,,4.421855592728,1.04,0.31538725467,33.3910635543,,2022-10-21
43,873937,塔罗斯,0.1,43214657.95,,,5138653.58,,,2.249307063,4.68,-0.0370280984,41.6970680662,,2022-10-20
44,873913,菲高科技,0.05,57580607.03,,,2175930.92,,,4.485916732749,1.22,-0.581513075493,20.1437247161,,2022-10-20
45,000638,万方发展,-0.0135,28853677.06,-4.9608000168,-82.7052,-4185069.86,-126.25,-107.4717,0.513726011086,-2.39,-0.176959519683,16.0224138517,软件开发,2022-10-20
46,873920,睿鸿网络,0.26,17144598.91,,20.2856,2749583.13,,55.9073,3.781115515179,7.23,-0.424741674333,34.5978558095,,2022-10-19
47,873864,旭辉电气,0.07,25872739.76,,-61.9613,3507898.7,,-79.4548,3.9797097712,1.78,-0.057220835,44.7231871744,,2022-10-19
48,833979,天图投资,,-78255700.0,,,-227396500.0,,,12.090464473825,,-0.224876200788,,,2022-10-17
49,873922,鹏威股份,0.03,16270466.96,,,1146967.77,,,1.294721585238,2.13,-0.024464509048,22.6528324544,,2022-10-14
50,873938,华世通,-0.14,13351644.5,,,-17368861.51,,,3.053308942422,-4.35,-0.192843840391,-11.269574321,,2022-10-11
51,873593,鼎智科技,0.8,73096574.39,34.6603009426,47.2758,24825884.66,39.9409818236,833.8593,4.743968712979,19.99,0.874454914202,56.0164132064,电机,2022-09-30
52,839894,长城搅拌,0.17,114296268.62,,,22211152.17,,,2.027758730963,8.62,0.054369157185,33.7224605889,,2022-09-30
53,837305,万和科技,0.31,60516133.78,13.3145475084,-9.9777,8233614.26,8.2597372701,-18.1475,3.197133499913,10.05,0.081050779703,26.8401275419,,2022-09-30
54,400071,中弘3,-0.04,6178295.72,-45.6333156724,-80.0121,-364710067.88,8.27,-168.1997,-0.272453705278,-17.34,-0.000706271905,-118.3019523708,,2022-09-30
55,688426,康为世纪,0.61,122614896.09,42.0796423342,19.5391,38884531.38,6.3714943702,-1.3393,,,,67.7860492244,生物制品,2022-09-29
56,873845,鑫宇科技,0.02,44832938.61,,-4.4415,1887134.92,,155.5234,1.92527912468,1.07,0.011148984016,24.471414099,,2022-09-28
