序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688433,华曙高科,,185006491.73,,,31723256.56,,,,,,54.6934707554,通用设备,2023-03-27
2,600185,格力地产,0.35,6169351814.27,45.1561159672,66.701,640641519.62,7.26,-29.0407,4.655728605614,7.33,1.376937672361,28.58073843,房地产开发,2023-03-23
3,002928,华夏航空,-0.1289,3275674934.88,-1.3543521306,-22.5706,-146391021.4,-176.26,-338.5048,3.585119661436,-3.48,0.725153663262,9.0419692826,航空机场,2023-03-23
4,601038,一拖股份,0.6038,8230081343.31,27.3435297682,9.0333,669177736.32,40.08,28.1652,5.015074272439,12.72,1.301637563011,16.7729546,专用设备,2023-03-22
5,603125,常青科技,0.74,545595852.36,,,106388760.29,,,,18.79,,30.2346234867,化学制品,2023-03-20
6,838758,思迅软件,0.91,254948358.83,,-8.5624,95571210.05,,-27.5249,,35.95,0.838886900191,64.4782454119,,2023-03-16
7,688531,日联科技,0.47,224948386.96,,,26264033.32,,,,,,40.3803195024,专用设备,2023-03-14
8,000695,滨海能源,-0.1318,379403563.38,30.6614897287,51.9973,-29268708.03,-127.26,-3.4523,1.492111418619,-5.17,-0.095328421397,3.3442255225,造纸印刷,2023-03-13
9,873850,百翔科技,,292481907.45,,,77545699.91,,,,,,43.7102059935,,2023-03-06
10,603829,洛凯股份,0.32,890313248.97,48.6662087771,34.7256,51241005.21,7.44,148.9784,4.789996362375,6.66,-0.019672135438,20.4944552843,电网设备,2023-03-04
11,300582,英飞特,0.55,1066670870.12,51.0312550987,3.4639,162621642.99,114.34,80.6181,4.666350308812,12.5,-0.083529652223,33.6447149278,光学光电子,2023-03-02
12,688211,中科微至,1.04,972526565.43,61.323832045,13.4407,102479172.11,32.34,-38.8545,9.481347455779,12.12,-3.595146265596,31.804326641,物流行业,2023-02-28
13,832471,美邦科技,0.9047,350661176.81,,-3.9017,63332496.42,,16.0432,,19.71,0.483692244429,41.7389234393,,2023-02-21
14,872869,瑞华技术,0.08,69460051.35,,,4555531.66,,,,1.51,0.142123480571,60.5599033868,,2023-02-20
15,300996,普联软件,0.3524,212974064.36,49.9386384963,-26.3317,42764204.94,128.98,-57.5974,5.829552277392,7.06,-0.466283213881,49.0427783091,软件开发,2023-02-13
16,603056,德邦股份,0.03,22558581235.19,19.0298881573,1.9982,27883950.81,-90.6,150.3582,5.814084792927,0.52,1.91259944907,10.1553904366,物流行业,2023-02-11
17,836547,无锡晶海,1.38,271103833.71,44.0521186834,,56260981.55,85.3935047018,,10.127659862745,28.06,1.474033365196,33.1206801989,,2023-02-08
18,873665,科强股份,0.3,194987517.11,,,29013525.2,,,,7.84,,34.8720503229,,2023-02-03
19,688486,龙迅股份,0.99,161245387.77,,,51625515.75,,,,,,64.8812503581,半导体,2023-01-31
20,603190,亚通精工,1.41,1131672933.64,,,126875855.24,,,,,,23.8271909458,汽车零部件,2023-01-31
21,301303,真兰仪表,0.73,811667577.6,,,160845613.69,,,,22.69,,39.9977115459,仪器仪表,2023-01-31
22,001260,坤泰股份,0.65,305257681.49,,,55912343.13,,,,19.04,,34.5509450393,汽车零部件,2023-01-30
23,688307,中润光学,0.17,256145364.89,,,11386290.08,,,,,,29.6361793205,光学光电子,2023-01-20
